ImageId;X;Y;Z;Rm00;Rm01;Rm02;Rm10;Rm11;Rm12;Rm20;Rm21;Rm22;ImageName
1; -1.2461; 0.3497; 1.2641; 0.5967000000; 0.0837000000; 0.7991000000; 0.7923000000; 0.0107000000; -0.5907000000; -0.0570000000; 0.9922000000; -0.0342000000; 000001.png
10; -0.7975; 1.4869; 1.5361; -0.0367000000; 0.0893000000; 0.9912000000; 0.9926000000; 0.0263000000; 0.0461000000; -0.0211000000; 0.9915000000; -0.0637000000; 000010.png
11; -1.4097; 1.6190; 1.5331; 0.3488000000; 0.0497000000; 0.9344000000; 0.9302000000; -0.0031000000; -0.3392000000; -0.0126000000; 0.9946000000; -0.0210000000; 000011.png
12; -1.6888; 1.1555; 1.5404; 0.6921000000; 0.0259000000; 0.7208000000; 0.7110000000; -0.0921000000; -0.6827000000; 0.0499000000; 0.9912000000; -0.0555000000; 000012.png
13; -1.5302; 1.2998; 1.5394; 0.4241000000; 0.0605000000; 0.9030000000; 0.8978000000; -0.0668000000; -0.4123000000; 0.0365000000; 0.9917000000; -0.0561000000; 000013.png
14; -0.9699; 1.7324; 1.5361; -0.3891000000; 0.0831000000; 0.9087000000; 0.9136000000; 0.0027000000; 0.4005000000; 0.0320000000; 0.9923000000; -0.0504000000; 000014.png
15; -1.2564; 0.5722; 1.5477; 0.5173000000; 0.0895000000; 0.8519000000; 0.8482000000; -0.0598000000; -0.5063000000; 0.0064000000; 0.9900000000; -0.0808000000; 000015.png
2; -1.3056; 0.3846; 0.9639; 0.6461000000; 0.2245000000; 0.7344000000; 0.7546000000; -0.1687000000; -0.6202000000; -0.0167000000; 0.9554000000; -0.2543000000; 000002.png
3; -1.0153; 1.5209; 1.0109; -0.5736000000; 0.0883000000; 0.8027000000; 0.8103000000; 0.1122000000; 0.5762000000; -0.0389000000; 0.9855000000; -0.1106000000; 000003.png
4; -1.5312; 0.5567; 1.5382; 0.6068000000; 0.1010000000; 0.7899000000; 0.7833000000; 0.0167000000; -0.6023000000; -0.0732000000; 0.9905000000; -0.0436000000; 000004.png
5; -1.4133; 1.2834; 1.5359; -0.4904000000; 0.0289000000; 0.8593000000; 0.8599000000; 0.1161000000; 0.4970000000; -0.0847000000; 0.9886000000; -0.0566000000; 000005.png
6; -1.4326; 0.6464; 1.5377; 0.5615000000; 0.0999000000; 0.8227000000; 0.8171000000; 0.0126000000; -0.5562000000; -0.0651000000; 0.9907000000; -0.0491000000; 000006.png
7; -2.0153; 0.3646; 1.5438; 0.9896000000; 0.0455000000; 0.0895000000; 0.0813000000; -0.0923000000; -0.9878000000; -0.0360000000; 0.9905000000; -0.0694000000; 000007.png
8; -2.5369; 0.6626; 1.5482; 0.7674000000; -0.0901000000; -0.6187000000; -0.6307000000; -0.1427000000; -0.7655000000; -0.0193000000; 0.9814000000; -0.1411000000; 000008.png
9; -0.9309; 0.4667; 1.5416; 0.5921000000; 0.1221000000; 0.7986000000; 0.7923000000; 0.0276000000; -0.5898000000; -0.0935000000; 0.9879000000; -0.0553000000; 000009.png
